index,list
800,"['KEYS', 'PAYC', 'KHC', 'MTD', 'NEE', 'BWA', 'ADBE', 'APTV', 'APA', 'MNST']"
801,"['BMY', 'TROW', 'ITW', 'CHRW', 'MET', 'KR', 'JCI', 'CMG', 'CMS', 'IQV']"
802,"['APH', 'KMX', 'UDR', 'XRAY', 'CDNS', 'PANW', 'CFG', 'GOOGL', 'MMM', 'IP']"
803,"['PSA', 'BALL', 'ALGN', 'TPR', 'BBY', 'HUM', 'TDG', 'PTC', 'JNJ', 'ZBRA']"
804,"['UAL', 'ALB', 'GWW', 'GPC', 'HD', 'YUM', 'RF', 'DGX', 'HRL', 'MSFT']"
805,"['A', 'AVGO', 'SO', 'CCI', 'GPC', 'VRSK', 'COF', 'STLD', 'NUE', 'SBAC']"
806,"['ADSK', 'ALK', 'TYL', 'BX', 'EFX', 'CVX', 'CBOE', 'CRL', 'WEC', 'K']"
807,"['RL', 'GL', 'FE', 'TEL', 'INTC', 'VRSK', 'MAA', 'LVS', 'JNJ', 'BRO']"
808,"['SNA', 'AAPL', 'ROK', 'EMR', 'ORLY', 'MMM', 'STT', 'IVZ', 'AFL', 'BIIB']"
809,"['KIM', 'COO', 'MHK', 'CF', 'CFG', 'BKNG', 'XEL', 'GOOGL', 'DD', 'CVX']"
810,"['SPGI', 'MAS', 'DXC', 'FIS', 'HSIC', 'NEM', 'EA', 'XYL', 'EQR', 'BXP']"
811,"['PEG', 'PARA', 'PH', 'DTE', 'FRT', 'VZ', 'TSLA', 'COST', 'RMD', 'KEY']"
812,"['VRTX', 'PAYX', 'NOW', 'CMA', 'AON', 'PH', 'COO', 'CCL', 'TT', 'XRAY']"
813,"['BALL', 'PH', 'AON', 'REGN', 'GRMN', 'ECL', 'POOL', 'F', 'BMY', 'FIS']"
814,"['L', 'BRO', 'PEP', 'WEC', 'EOG', 'MCO', 'PANW', 'AJG', 'MSCI', 'ELV']"
815,"['EXR', 'WYNN', 'SPG', 'SRE', 'CZR', 'UNH', 'PAYC', 'EVRG', 'MCO', 'DD']"
816,"['ICE', 'JNPR', 'DXCM', 'EA', 'NCLH', 'AZO', 'ANSS', 'WM', 'L', 'HST']"
817,"['EXC', 'WM', 'ON', 'TMO', 'ZION', 'UHS', 'AXP', 'BKNG', 'TTWO', 'PXD']"
818,"['BWA', 'GPN', 'VRSN', 'JCI', 'CINF', 'CSGP', 'XYL', 'ROST', 'J', 'V']"
819,"['MTB', 'MNST', 'CMI', 'NOC', 'LEN', 'GLW', 'BX', 'EVRG', 'EG', 'ALLE']"
820,"['MSFT', 'AIZ', 'ECL', 'F', 'STZ', 'KMB', 'DVN', 'CB', 'CHD', 'ISRG']"
821,"['HST', 'AJG', 'RTX', 'HAS', 'PEAK', 'JNPR', 'SYK', 'AKAM', 'DOV', 'SLB']"
822,"['BRO', 'PEG', 'CMA', 'FICO', 'LDOS', 'PPG', 'DGX', 'WAB', 'AXP', 'DE']"
823,"['JPM', 'KR', 'NXPI', 'TEL', 'SEDG', 'IDXX', 'SNA', 'DD', 'CTRA', 'NSC']"
824,"['VLO', 'MMM', 'CMG', 'EPAM', 'HIG', 'ACN', 'MCO', 'AIG', 'XRAY', 'MTB']"
825,"['EQT', 'COO', 'INTC', 'PARA', 'HAL', 'MSI', 'TXN', 'MPWR', 'EFX', 'FRT']"
826,"['NRG', 'EXC', 'MTB', 'STE', 'EMR', 'SRE', 'EIX', 'WY', 'C', 'AKAM']"
827,"['MCO', 'QCOM', 'D', 'TRGP', 'NOW', 'REGN', 'KO', 'ULTA', 'NCLH', 'COR']"
828,"['KR', 'MRO', 'DVA', 'AJG', 'XOM', 'AEP', 'WMB', 'COR', 'LUV', 'META']"
829,"['COO', 'AIZ', 'TER', 'KMX', 'DHI', 'PLD', 'RVTY', 'EVRG', 'ABT', 'GILD']"
830,"['LLY', 'LH', 'RJF', 'KMB', 'MPC', 'ALLE', 'ADI', 'WBD', 'FTNT', 'VRSN']"
831,"['CPRT', 'MMM', 'CI', 'DIS', 'K', 'COO', 'DUK', 'FRT', 'ACN', 'QCOM']"
832,"['MDT', 'MSI', 'ETR', 'PPG', 'D', 'SYY', 'PM', 'SRE', 'MMC', 'CCI']"
833,"['ELV', 'GPN', 'RTX', 'ENPH', 'PWR', 'STT', 'LEN', 'CINF', 'UPS', 'PPL']"
834,"['WFC', 'HPQ', 'WYNN', 'PSA', 'VTR', 'UNP', 'TECH', 'ZBH', 'BAX', 'PXD']"
835,"['MCO', 'FLT', 'K', 'ETN', 'GOOGL', 'SNPS', 'GD', 'DG', 'PPG', 'CAG']"
836,"['FE', 'ORCL', 'SYK', 'NVR', 'EA', 'IQV', 'KMI', 'CE', 'DVA', 'EOG']"
837,"['AMT', 'AEP', 'MGM', 'RHI', 'ATVI', 'O', 'CI', 'SYY', 'AIG', 'C']"
838,"['HIG', 'HBAN', 'TT', 'BKNG', 'AMP', 'JPM', 'MOS', 'WY', 'IT', 'AXP']"
839,"['BIO', 'BA', 'CMA', 'TMO', 'TECH', 'RJF', 'DUK', 'TFX', 'CAT', 'KHC']"
840,"['MA', 'EW', 'NWSA', 'WM', 'KDP', 'ROP', 'PM', 'PEP', 'AIZ', 'ABBV']"
841,"['MMM', 'RHI', 'BK', 'TPR', 'OKE', 'CHD', 'MOS', 'PPG', 'SLB', 'LYV']"
