index,list
0,"['AVGO', 'HUM', 'APH', 'APTV', 'MSCI', 'GD', 'POOL', 'CRL', 'ITW', 'PEP']"
1,"['BAC', 'WBD', 'DXCM', 'EMR', 'CVS', 'PCAR', 'CLX', 'CDNS', 'BR', 'GLW']"
2,"['NWSA', 'GWW', 'FAST', 'REGN', 'MAS', 'EQT', 'PPL', 'JKHY', 'MSCI', 'KMB']"
3,"['HOLX', 'NDSN', 'HES', 'TROW', 'TRGP', 'KMX', 'A', 'SYK', 'WM', 'LYB']"
4,"['IT', 'MS', 'SCHW', 'GILD', 'UNH', 'APD', 'MDT', 'ALLE', 'WY', 'AMAT']"
5,"['IQV', 'TFX', 'CAG', 'GS', 'VTR', 'INTC', 'NEM', 'CPB', 'APH', 'ACGL']"
6,"['CRM', 'BBWI', 'MKC', 'INCY', 'TER', 'IBM', 'BBY', 'ALLE', 'A', 'LEN']"
7,"['NSC', 'YUM', 'UHS', 'TER', 'CPT', 'DD', 'RSG', 'LEN', 'COR', 'AIG']"
8,"['WAT', 'DVA', 'UNH', 'CF', 'SJM', 'DIS', 'MKTX', 'HPE', 'AAPL', 'NTAP']"
9,"['WBA', 'CNC', 'MO', 'CAT', 'TAP', 'CTLT', 'BIIB', 'AMZN', 'URI', 'CMS']"
10,"['MSI', 'WBA', 'TFX', 'SWK', 'FLT', 'EVRG', 'MAR', 'LYV', 'BX', 'MRO']"
11,"['NEM', 'BSX', 'DVN', 'ZION', 'TROW', 'CMG', 'IVZ', 'ITW', 'AMD', 'GE']"
12,"['MCHP', 'EQR', 'MCO', 'LDOS', 'HUM', 'GNRC', 'WAB', 'FLT', 'AMCR', 'WFC']"
13,"['BRO', 'BBWI', 'ARE', 'MCO', 'FI', 'ROP', 'RVTY', 'MSCI', 'NOW', 'KLAC']"
14,"['MDT', 'ABBV', 'TT', 'GE', 'TPR', 'NCLH', 'ICE', 'STZ', 'LDOS', 'BWA']"
15,"['GIS', 'AOS', 'D', 'TFX', 'PLD', 'O', 'UNH', 'PEP', 'SWK', 'CMCSA']"
16,"['HIG', 'TGT', 'AES', 'PCG', 'DUK', 'EMN', 'LDOS', 'CVX', 'INCY', 'ALB']"
17,"['PG', 'EIX', 'CCI', 'MU', 'CF', 'NUE', 'D', 'GS', 'BMY', 'TRGP']"
18,"['BIIB', 'MPC', 'DHR', 'INCY', 'IFF', 'BWA', 'CAT', 'BK', 'CCL', 'LUV']"
19,"['CZR', 'ORCL', 'JPM', 'ENPH', 'CTRA', 'EXC', 'WYNN', 'PHM', 'ZBRA', 'HII']"
20,"['SEE', 'PG', 'ZTS', 'EMN', 'BX', 'YUM', 'FE', 'IFF', 'NEE', 'BBY']"
21,"['C', 'DOV', 'PGR', 'NFLX', 'RSG', 'MDT', 'TGT', 'ROK', 'CDNS', 'STLD']"
22,"['BKR', 'CBRE', 'WAB', 'EQT', 'AMZN', 'EMN', 'DAL', 'EBAY', 'AON', 'CHD']"
23,"['CBOE', 'KEY', 'CZR', 'WBA', 'COP', 'APTV', 'VTR', 'DHI', 'CPRT', 'LDOS']"
24,"['FIS', 'FSLR', 'URI', 'REG', 'OKE', 'JBHT', 'DLR', 'EPAM', 'EG', 'HPQ']"
25,"['TRV', 'DLR', 'GEN', 'MCHP', 'ADBE', 'NI', 'EQT', 'NOC', 'ZBH', 'CBRE']"
26,"['BSX', 'DE', 'SRE', 'WST', 'BR', 'TYL', 'ABT', 'VTRS', 'ETR', 'NEE']"
27,"['EQIX', 'STX', 'MGM', 'SYF', 'KIM', 'TRGP', 'PNW', 'WRB', 'BSX', 'EVRG']"
28,"['PEP', 'OMC', 'SBUX', 'FAST', 'TER', 'MRK', 'ETSY', 'KR', 'ROP', 'CMA']"
29,"['KEYS', 'KHC', 'VMC', 'QCOM', 'ADP', 'ORLY', 'KMB', 'HPQ', 'GE', 'MCK']"
30,"['JNPR', 'WM', 'DGX', 'WMT', 'ORLY', 'ALB', 'T', 'EOG', 'IPG', 'CRL']"
31,"['AME', 'NKE', 'ITW', 'AIG', 'SNPS', 'NEM', 'MKTX', 'ODFL', 'CHD', 'EA']"
32,"['KMI', 'HIG', 'HAL', 'O', 'BEN', 'ARE', 'MRK', 'ADM', 'CE', 'BKNG']"
33,"['AAPL', 'ALGN', 'PYPL', 'T', 'AXON', 'MPWR', 'TROW', 'INTC', 'IEX', 'KMB']"
34,"['INTC', 'PANW', 'SLB', 'O', 'CF', 'BIIB', 'J', 'SRE', 'CRM', 'EPAM']"
35,"['CMA', 'BG', 'CHTR', 'META', 'ANET', 'IEX', 'RMD', 'GEN', 'AOS', 'AJG']"
36,"['JNPR', 'NCLH', 'EQR', 'PSX', 'LYB', 'WMT', 'BMY', 'PEAK', 'VTRS', 'MAR']"
37,"['AWK', 'JCI', 'LEN', 'CAH', 'APD', 'COO', 'PARA', 'WBD', 'LVS', 'CME']"
38,"['CF', 'BXP', 'VRTX', 'ZTS', 'GILD', 'SHW', 'EW', 'CAH', 'BX', 'EVRG']"
39,"['TEL', 'DXC', 'RHI', 'BSX', 'DPZ', 'BAX', 'SLB', 'EL', 'XYL', 'KIM']"
40,"['CLX', 'BLK', 'BG', 'PNW', 'MTD', 'RHI', 'AAPL', 'SO', 'F', 'TTWO']"
41,"['NDAQ', 'PH', 'L', 'IVZ', 'NVDA', 'OKE', 'HII', 'HES', 'MPC', 'PEAK']"
42,"['TAP', 'CMA', 'D', 'ROL', 'GPC', 'VLO', 'EPAM', 'SYF', 'MHK', 'GPN']"
43,"['CINF', 'SNPS', 'EQT', 'IT', 'HAL', 'CLX', 'MAS', 'WM', 'CRL', 'VMC']"
44,"['RL', 'CL', 'JNPR', 'YUM', 'BXP', 'MO', 'PYPL', 'SWKS', 'ADSK', 'PLD']"
45,"['MCHP', 'QCOM', 'FDX', 'SEDG', 'REGN', 'AEE', 'TSCO', 'BBWI', 'JBHT', 'PGR']"
46,"['ENPH', 'PKG', 'DRI', 'STT', 'EMR', 'RJF', 'CRL', 'VTR', 'NVR', 'CNC']"
47,"['GPN', 'PNR', 'IFF', 'KO', 'ZBRA', 'JCI', 'DAL', 'GOOG', 'HON', 'TER']"
48,"['EFX', 'CHRW', 'LNT', 'ZTS', 'VRSN', 'TECH', 'VLO', 'UAL', 'AXON', 'DTE']"
49,"['POOL', 'GM', 'CDW', 'BSX', 'TFX', 'EMR', 'WBA', 'WY', 'VRTX', 'JKHY']"
50,"['MU', 'COP', 'FANG', 'TXN', 'DHI', 'FRT', 'PSA', 'CSX', 'ACGL', 'AJG']"
51,"['PTC', 'FTNT', 'IVZ', 'MHK', 'GEN', 'MTD', 'VMC', 'TSCO', 'BRO', 'PFG']"
52,"['EOG', 'QRVO', 'MHK', 'ODFL', 'URI', 'BK', 'AJG', 'HBAN', 'ABBV', 'ANSS']"
53,"['NOC', 'ROL', 'EQT', 'ZBH', 'CFG', 'ZION', 'HAL', 'MNST', 'STLD', 'NKE']"
54,"['DTE', 'SNPS', 'HOLX', 'ATO', 'EA', 'ROL', 'AMCR', 'ICE', 'HUM', 'UPS']"
55,"['CAH', 'PNW', 'CHRW', 'DLR', 'CRM', 'META', 'NEM', 'EQR', 'USD', 'DFS']"
56,"['BDX', 'CCI', 'BKNG', 'BWA', 'HPE', 'ZTS', 'ALL', 'WMB', 'DG', 'TJX']"
57,"['AEP', 'FCX', 'WELL', 'MPC', 'PAYX', 'TSLA', 'CTRA', 'LYV', 'EXC', 'WY']"
