index,list
600,"['REG', 'MSFT', 'FSLR', 'TFC', 'GWW', 'RJF', 'CDNS', 'LYB', 'C', 'RTX']"
601,"['WDC', 'EBAY', 'INCY', 'TGT', 'EQT', 'AMD', 'META', 'MAS', 'CTAS', 'CMCSA']"
602,"['HON', 'BALL', 'KMI', 'WYNN', 'WTW', 'PRU', 'MMC', 'NDSN', 'WAT', 'TRMB']"
603,"['PXD', 'PSA', 'IQV', 'TER', 'VMC', 'MSI', 'AZO', 'SEE', 'FANG', 'CCI']"
604,"['NKE', 'UHS', 'COF', 'J', 'AIG', 'DRI', 'UPS', 'AAPL', 'GE', 'A']"
605,"['AKAM', 'EMR', 'WYNN', 'ROL', 'UPS', 'PAYX', 'STZ', 'FSLR', 'DLTR', 'SYY']"
606,"['AAPL', 'CBRE', 'PTC', 'WRB', 'TROW', 'HIG', 'TER', 'CMS', 'DAL', 'ULTA']"
607,"['TMO', 'ROST', 'MNST', 'MAS', 'INCY', 'GLW', 'PARA', 'ORCL', 'SBUX', 'EQR']"
608,"['TDY', 'DG', 'HCA', 'NTRS', 'AMP', 'KLAC', 'PNW', 'LH', 'DUK', 'NVDA']"
609,"['HUM', 'ULTA', 'SHW', 'HCA', 'AMT', 'FIS', 'ENPH', 'MCO', 'ARE', 'FTNT']"
610,"['CPRT', 'LUV', 'TAP', 'SNPS', 'TYL', 'K', 'WAB', 'PCAR', 'MCHP', 'HLT']"
611,"['PFE', 'CTAS', 'ES', 'ZBRA', 'GM', 'HOLX', 'CZR', 'VRSK', 'KLAC', 'NWS']"
612,"['DVN', 'PAYC', 'AVY', 'MSCI', 'TSN', 'WDC', 'JNPR', 'WBA', 'ROK', 'WHR']"
613,"['CPT', 'KDP', 'PFE', 'WTW', 'DUK', 'TER', 'FIS', 'LVS', 'ALL', 'NOW']"
614,"['BR', 'ALB', 'FLT', 'ZION', 'LNT', 'NXPI', 'GL', 'JKHY', 'MDT', 'USB']"
615,"['NI', 'TRV', 'KMI', 'HD', 'ACN', 'SPG', 'DVA', 'WM', 'AZO', 'CMG']"
616,"['CF', 'YUM', 'ZTS', 'TXN', 'EL', 'TTWO', 'F', 'TPR', 'WM', 'ETR']"
617,"['COR', 'TSLA', 'TGT', 'REGN', 'BAX', 'MNST', 'POOL', 'AMCR', 'HRL', 'REG']"
618,"['PFG', 'FICO', 'FSLR', 'ALK', 'PFE', 'GBP', 'BIO', 'SYK', 'ADM', 'AXP']"
619,"['EQIX', 'NKE', 'JCI', 'CME', 'SNPS', 'IVZ', 'SRE', 'UNP', 'STT', 'SBAC']"
620,"['BBY', 'GPC', 'TXN', 'CMG', 'ITW', 'DUK', 'HST', 'PSA', 'ROP', 'WAB']"
621,"['RF', 'DLR', 'L', 'KLAC', 'MSCI', 'ITW', 'VRSK', 'SJM', 'NFLX', 'BX']"
622,"['UNP', 'HD', 'MCD', 'FLT', 'ULTA', 'FI', 'KMX', 'DHI', 'CMI', 'ABT']"
623,"['EIX', 'D', 'MTCH', 'LMT', 'LEN', 'HCA', 'DIS', 'HII', 'DGX', 'CHD']"
624,"['WM', 'MLM', 'NFLX', 'GM', 'STLD', 'XOM', 'SRE', 'FLT', 'ES', 'JKHY']"
625,"['DLTR', 'SCHW', 'PODD', 'LYB', 'CHTR', 'INTC', 'GEN', 'FRT', 'EPAM', 'PEP']"
626,"['SHW', 'SO', 'KR', 'BKNG', 'GEN', 'MLM', 'KMB', 'CPB', 'TAP', 'AON']"
627,"['ALK', 'DGX', 'FDX', 'TSN', 'USD', 'LEN', 'UHS', 'AXP', 'ROL', 'ORLY']"
628,"['J', 'GNRC', 'F', 'QCOM', 'HON', 'LMT', 'APA', 'D', 'UDR', 'GL']"
629,"['GOOGL', 'ROK', 'WRK', 'LYV', 'ELV', 'COR', 'APD', 'ILMN', 'AIG', 'NRG']"
630,"['USD', 'VTRS', 'STT', 'CZR', 'MTD', 'AAPL', 'NWS', 'BK', 'VFC', 'FIS']"
631,"['BALL', 'KDP', 'FITB', 'FRT', 'SYY', 'CBOE', 'TJX', 'CMG', 'BA', 'UAL']"
632,"['MHK', 'QRVO', 'KDP', 'COST', 'NRG', 'URI', 'TFX', 'DAL', 'NUE', 'BLK']"
633,"['XEL', 'AIZ', 'UDR', 'NWS', 'AMZN', 'COP', 'KMI', 'CNP', 'CMCSA', 'CRL']"
