index,list
200,"['ADI', 'AAL', 'TRMB', 'PSA', 'INTC', 'V', 'C', 'GPN', 'TER', 'BA']"
201,"['MSCI', 'AMCR', 'AMZN', 'PRU', 'AKAM', 'TECH', 'CFG', 'IT', 'RCL', 'SYK']"
202,"['DE', 'EIX', 'NEM', 'AEE', 'CINF', 'FAST', 'NOW', 'TMUS', 'BAC', 'CSX']"
203,"['MRK', 'LRCX', 'CB', 'YUM', 'AIG', 'POOL', 'TSN', 'RSG', 'CVX', 'GL']"
204,"['HD', 'AVB', 'KMX', 'CAT', 'PRU', 'CE', 'SBAC', 'LEN', 'O', 'VRSN']"
205,"['WY', 'PFE', 'BWA', 'L', 'MDLZ', 'CI', 'BAX', 'CE', 'DFS', 'TTWO']"
206,"['DLTR', 'BWA', 'NWS', 'CSX', 'EW', 'K', 'EVRG', 'ADP', 'DFS', 'ALB']"
207,"['PGR', 'CTRA', 'CAT', 'AXP', 'ABT', 'KR', 'WRB', 'HES', 'DXCM', 'NEE']"
208,"['PEG', 'APTV', 'GRMN', 'SYY', 'RCL', 'RTX', 'BDX', 'TMO', 'STT', 'KEY']"
209,"['CHTR', 'GM', 'SPG', 'BAC', 'KDP', 'WYNN', 'T', 'EQT', 'EL', 'SEDG']"
210,"['DRI', 'CTRA', 'VZ', 'ETR', 'WRB', 'AMCR', 'VRSN', 'EBAY', 'BKNG', 'BBY']"
211,"['ADM', 'NFLX', 'CLX', 'MET', 'BIIB', 'APTV', 'CMA', 'CCI', 'LOW', 'FFIV']"
212,"['GPC', 'FSLR', 'EXC', 'ATVI', 'ICE', 'WMB', 'MPC', 'JBHT', 'VZ', 'MCK']"
213,"['CMA', 'HON', 'AIZ', 'ES', 'SNPS', 'AMZN', 'TGT', 'JNJ', 'TEL', 'ROST']"
214,"['WEC', 'BAC', 'DOV', 'T', 'CHTR', 'MRK', 'ZTS', 'BR', 'SPGI', 'TECH']"
215,"['DLTR', 'IEX', 'MAS', 'EBAY', 'CBOE', 'IBM', 'PH', 'PFG', 'AEP', 'KMX']"
216,"['NCLH', 'DLR', 'AWK', 'DG', 'WDC', 'BBY', 'HST', 'NTAP', 'GPN', 'IBM']"
217,"['EQR', 'WRK', 'JCI', 'SHW', 'TRMB', 'AVGO', 'JPM', 'AWK', 'USB', 'APD']"
218,"['MNST', 'FAST', 'DLTR', 'CTSH', 'AMZN', 'IFF', 'LMT', 'EXR', 'PODD', 'AES']"
219,"['ZBH', 'A', 'KO', 'EW', 'MSCI', 'CHD', 'EBAY', 'INCY', 'TDG', 'RCL']"
220,"['UHS', 'IFF', 'EQT', 'AAL', 'DLTR', 'DHR', 'RMD', 'TRV', 'APA', 'BLK']"
